iter	Passed	Remaining
0	0	63
1	1	57
2	1	56
3	2	53
4	2	53
5	3	52
6	3	51
7	4	51
8	4	50
9	5	49
10	5	48
11	6	47
12	6	46
13	7	46
14	8	45
15	8	44
16	9	44
17	9	44
18	10	43
19	10	43
20	11	43
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
